Start Date,End Date,Num posts per period,Avg num of posts per day,Avg num of replies per posts,Num of new questions posted per period,Post replies,Avg replies generated daily,Avg View Count Per question,Avg Score per question,Avg length of body per question,Account created per period,Number of active users,Avg num of daily users,Avg length of body per answer,Avg highest score for a question answered to a question with over 500 views,,,,,,,
Dec-18,Dec-18,307828,10261,1,129945,177883,5929,1887,1,1679,116899,109935,3665,939,4,,,,,,,
Jan-19,Jan-19,343456,11449,1,144063,199393,6646,1871,1,1700,136207,110641,3688,950,4,,,,,,,
Feb-19,Feb-19,335057,12410,1,140790,194267,7195,1797,1,1685,125972,103668,3840,944,3,,,,,,,
Mar-19,Mar-19,374700,12490,1,158869,215831,7194,1752,1,1689,143373,122739,4091,946,3,,,,,,,
Apr-19,Apr-19,348084,12003,1,148561,199523,6880,1648,1,1711,138384,125627,4332,939,3,,,,,,,
May-19,May-19,342417,11414,1,146982,195435,6515,1519,1,1718,141902,135440,4515,951,3,,,,,,,
Jun-19,Jun-19,313933,10825,1,134225,179708,6197,1731,1,1716,129940,122298,4217,953,3,,,,,,,
Jul-19,Jul-19,339572,11319,1,145714,193858,6462,1593,1,1726,135123,121836,4061,941,3,,,,,,,
Aug-19,Aug-19,321592,10720,1,135378,186214,6207,1569,1,1740,131642,122614,4087,946,3,,,,,,,
Sep-19,Sep-19,311774,10751,1,132258,179516,6190,1597,1,1698,131286,115461,3981,945,3,,,,,,,
Oct-19,Oct-19,345366,11512,1,147794,197572,6586,1524,1,1689,149463,130915,4364,939,3,,,,,,,
Nov-19,Nov-19,343404,11842,1,145998,197406,6807,1433,1,1708,143197,131539,4536,946,3,,,,,,,
Dec-19,Dec-19,306925,10231,1,129894,177031,5901,1514,1,1754,152599,151088,5036,963,3,,,,,,,
Jan-20,Jan-20,333749,11125,1,142240,191509,6384,1519,1,1739,165206,152105,5070,962,3,,,,,,,
Feb-20,Feb-20,319135,11820,1,137391,181744,6731,1460,1,1738,146845,136569,5058,961,3,,,,,,,
Mar-20,Mar-20,339246,11308,1,150213,189033,6301,1343,1,1751,165877,163194,5440,965,3,,,,,,,
Apr-20,Apr-20,400351,13805,1,176917,223434,7705,1308,1,1733,252284,171427,5911,956,3,,,,,,,
May-20,May-20,419437,13981,1,183207,236230,7874,1277,1,1725,193311,175555,5852,957,3,,,,,,,
Jun-20,Jun-20,382283,13182,1,166528,215755,7440,1291,1,1740,178356,177517,6121,960,2,,,,,,,
Jul-20,Jul-20,373541,12451,1,161728,211813,7060,1314,1,1799,166996,165273,5509,975,2,,,,,,,
Aug-20,Aug-20,334163,11139,1,143950,190213,6340,1292,1,1833,158378,157018,5234,988,2,,,,,,,
Sep-20,Sep-20,316956,10930,1,136988,179968,6206,1261,0,1807,161198,156566,5399,990,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,